from,to
MatP,KK
RonP,KK
BarP,KK
StaT,KK
GerH,KK
SteKam,KK
SteKap,KK
DieK,KK
ClaN,KK
KatR,KK
GunR,KK
EriS,KK
AntG,KK
HanW,KK
ChrH,KK
MicK,KK
ReiP,KK
MicV,KK
AndS,KK
SteKo,KK
MarK,KK
HubW,KK
KaiN,KK
JutA,KK
FelM,KK
HanS,KK
AnnN,KK
RalW,KK
AndLe,KK
AndLa,KK
MatM,KK
MatP,SPD
RonP,DB
RonP,CDU
RonP,BR
RonP,BK
MatP,LRBr
BarP,HfTW
BarP,Think
StaT,LRSa
StaT,CDU
GerH,DRK
GerH,CDU
GerH,BT
GerH,BR
SteKam,BDA
SteKam,CDU
SteKam,BT
SteKam,BR
SteKap,FDP
SteKap,BDEW
DieK,BDI
ClaN,TEL
ClaN,McK
KatR,VKU
KatR,CDU
KatR,BT
KatR,BR
GunR,StaD
GunR,EnBW
GunR,GRU
EriS,FDP
EriS,DIHT
EriS,ALB
AntG,BUB
HanW,CDU
HanW,GZW
HanW,StVW
HanW,NBBG
ChrH,SprT
ChrH,BSp
MicK,CDU
MicK,LARE
MicK,BBr
ReiP,GRU
ReiP,LEE
MicV,IGBCE
MicV,SPD
AndS,VER
AndS,SPD
AndS,Eon
SteKo,DGB
SteKo,SPD
MarK,GRE
HubW,BUND
HubW,BR
KaiN,DNR
KaiN,NFD
KaiN,UNIZ
JutA,WZB
JutA,HUB
JutA,DGS
ChrS,BAG
ChrS,KK
FelM,OKO
HanS,PIK
HanS,UNIP
HansS,SRC
HanS,IPCC
HanS,BR
AnnN,UNIK
RalW,FRI
RalW,UNIH
AndLa,CDU
AndLa,BT
AndLa,PKM
AndLe,CDU
AndLe,AWE
AndLe,PBNE
MatM,SPD
MatM,BT